candidate_id,source,signature,pca__n_components,model__C,model__gamma,params_json,stage,fold_idx,fold_accuracy,fit_seconds
stage3_377,stage3_seed_1,"{""model__C"": 4.0, ""model__gamma"": 0.001, ""pca__n_components"": 92}",92,4.0,0.001,"{""model__C"": 4.0, ""model__gamma"": 0.001, ""pca__n_components"": 92}",stage3_local_cv,3,0.72125,4.893
stage3_377,stage3_seed_1,"{""model__C"": 4.0, ""model__gamma"": 0.001, ""pca__n_components"": 92}",92,4.0,0.001,"{""model__C"": 4.0, ""model__gamma"": 0.001, ""pca__n_components"": 92}",stage3_local_cv,4,0.698125,5.194
stage3_378,stage3_seed_1,"{""model__C"": 4.0, ""model__gamma"": 0.0025, ""pca__n_components"": 92}",92,4.0,0.0025,"{""model__C"": 4.0, ""model__gamma"": 0.0025, ""pca__n_components"": 92}",stage3_local_cv,0,0.755,4.725
stage3_378,stage3_seed_1,"{""model__C"": 4.0, ""model__gamma"": 0.0025, ""pca__n_components"": 92}",92,4.0,0.0025,"{""model__C"": 4.0, ""model__gamma"": 0.0025, ""pca__n_components"": 92}",stage3_local_cv,1,0.7325,5.139
stage3_378,stage3_seed_1,"{""model__C"": 4.0, ""model__gamma"": 0.0025, ""pca__n_components"": 92}",92,4.0,0.0025,"{""model__C"": 4.0, ""model__gamma"": 0.0025, ""pca__n_components"": 92}",stage3_local_cv,2,0.735625,4.753
stage3_378,stage3_seed_1,"{""model__C"": 4.0, ""model__gamma"": 0.0025, ""pca__n_components"": 92}",92,4.0,0.0025,"{""model__C"": 4.0, ""model__gamma"": 0.0025, ""pca__n_components"": 92}",stage3_local_cv,3,0.75,5.141
stage3_378,stage3_seed_1,"{""model__C"": 4.0, ""model__gamma"": 0.0025, ""pca__n_components"": 92}",92,4.0,0.0025,"{""model__C"": 4.0, ""model__gamma"": 0.0025, ""pca__n_components"": 92}",stage3_local_cv,4,0.73125,4.727
stage3_379,stage3_seed_1,"{""model__C"": 4.0, ""model__gamma"": 0.005, ""pca__n_components"": 92}",92,4.0,0.005,"{""model__C"": 4.0, ""model__gamma"": 0.005, ""pca__n_components"": 92}",stage3_local_cv,0,0.794375,5.076
stage3_379,stage3_seed_1,"{""model__C"": 4.0, ""model__gamma"": 0.005, ""pca__n_components"": 92}",92,4.0,0.005,"{""model__C"": 4.0, ""model__gamma"": 0.005, ""pca__n_components"": 92}",stage3_local_cv,1,0.781875,4.673
stage3_379,stage3_seed_1,"{""model__C"": 4.0, ""model__gamma"": 0.005, ""pca__n_components"": 92}",92,4.0,0.005,"{""model__C"": 4.0, ""model__gamma"": 0.005, ""pca__n_components"": 92}",stage3_local_cv,2,0.774375,5.729
stage3_379,stage3_seed_1,"{""model__C"": 4.0, ""model__gamma"": 0.005, ""pca__n_components"": 92}",92,4.0,0.005,"{""model__C"": 4.0, ""model__gamma"": 0.005, ""pca__n_components"": 92}",stage3_local_cv,3,0.78375,4.798
stage3_379,stage3_seed_1,"{""model__C"": 4.0, ""model__gamma"": 0.005, ""pca__n_components"": 92}",92,4.0,0.005,"{""model__C"": 4.0, ""model__gamma"": 0.005, ""pca__n_components"": 92}",stage3_local_cv,4,0.78,4.725
stage3_380,stage3_seed_1,"{""model__C"": 4.0, ""model__gamma"": 0.01, ""pca__n_components"": 92}",92,4.0,0.01,"{""model__C"": 4.0, ""model__gamma"": 0.01, ""pca__n_components"": 92}",stage3_local_cv,0,0.811875,7.529
stage3_380,stage3_seed_1,"{""model__C"": 4.0, ""model__gamma"": 0.01, ""pca__n_components"": 92}",92,4.0,0.01,"{""model__C"": 4.0, ""model__gamma"": 0.01, ""pca__n_components"": 92}",stage3_local_cv,1,0.804375,6.524
stage3_380,stage3_seed_1,"{""model__C"": 4.0, ""model__gamma"": 0.01, ""pca__n_components"": 92}",92,4.0,0.01,"{""model__C"": 4.0, ""model__gamma"": 0.01, ""pca__n_components"": 92}",stage3_local_cv,2,0.806875,5.136
stage3_380,stage3_seed_1,"{""model__C"": 4.0, ""model__gamma"": 0.01, ""pca__n_components"": 92}",92,4.0,0.01,"{""model__C"": 4.0, ""model__gamma"": 0.01, ""pca__n_components"": 92}",stage3_local_cv,3,0.801875,6.43
stage3_380,stage3_seed_1,"{""model__C"": 4.0, ""model__gamma"": 0.01, ""pca__n_components"": 92}",92,4.0,0.01,"{""model__C"": 4.0, ""model__gamma"": 0.01, ""pca__n_components"": 92}",stage3_local_cv,4,0.803125,6.446
stage3_381,stage3_seed_1,"{""model__C"": 4.0, ""model__gamma"": 0.02, ""pca__n_components"": 92}",92,4.0,0.02,"{""model__C"": 4.0, ""model__gamma"": 0.02, ""pca__n_components"": 92}",stage3_local_cv,0,0.800625,5.083
stage3_381,stage3_seed_1,"{""model__C"": 4.0, ""model__gamma"": 0.02, ""pca__n_components"": 92}",92,4.0,0.02,"{""model__C"": 4.0, ""model__gamma"": 0.02, ""pca__n_components"": 92}",stage3_local_cv,1,0.808125,5.056
stage3_381,stage3_seed_1,"{""model__C"": 4.0, ""model__gamma"": 0.02, ""pca__n_components"": 92}",92,4.0,0.02,"{""model__C"": 4.0, ""model__gamma"": 0.02, ""pca__n_components"": 92}",stage3_local_cv,2,0.7975,6.367
stage3_381,stage3_seed_1,"{""model__C"": 4.0, ""model__gamma"": 0.02, ""pca__n_components"": 92}",92,4.0,0.02,"{""model__C"": 4.0, ""model__gamma"": 0.02, ""pca__n_components"": 92}",stage3_local_cv,3,0.800625,5.03
stage3_381,stage3_seed_1,"{""model__C"": 4.0, ""model__gamma"": 0.02, ""pca__n_components"": 92}",92,4.0,0.02,"{""model__C"": 4.0, ""model__gamma"": 0.02, ""pca__n_components"": 92}",stage3_local_cv,4,0.8,5.045
stage3_382,stage3_seed_1,"{""model__C"": 6.0, ""model__gamma"": ""scale"", ""pca__n_components"": 92}",92,6.0,scale,"{""model__C"": 6.0, ""model__gamma"": ""scale"", ""pca__n_components"": 92}",stage3_local_cv,0,0.80625,6.622
stage3_382,stage3_seed_1,"{""model__C"": 6.0, ""model__gamma"": ""scale"", ""pca__n_components"": 92}",92,6.0,scale,"{""model__C"": 6.0, ""model__gamma"": ""scale"", ""pca__n_components"": 92}",stage3_local_cv,1,0.795,7.13
stage3_382,stage3_seed_1,"{""model__C"": 6.0, ""model__gamma"": ""scale"", ""pca__n_components"": 92}",92,6.0,scale,"{""model__C"": 6.0, ""model__gamma"": ""scale"", ""pca__n_components"": 92}",stage3_local_cv,2,0.794375,5.401
stage3_382,stage3_seed_1,"{""model__C"": 6.0, ""model__gamma"": ""scale"", ""pca__n_components"": 92}",92,6.0,scale,"{""model__C"": 6.0, ""model__gamma"": ""scale"", ""pca__n_components"": 92}",stage3_local_cv,3,0.7925,6.72
