candidate_id,source,signature,clean__method,scale__method,pca__n_components,model__n_neighbors,model__metric,params_json,stage,cv_mean_accuracy,cv_std_accuracy,mean_removed_rows,total_fit_seconds,completed_folds
stage3_477,stage3_seed_0,"{""clean__method"": ""tomek"", ""model__metric"": ""manhattan"", ""model__n_neighbors"": 6, ""model__weights"": ""distance"", ""pca__n_components"": 56, ""scale__method"": ""standard""}",tomek,standard,56,6,manhattan,"{""clean__method"": ""tomek"", ""model__metric"": ""manhattan"", ""model__n_neighbors"": 6, ""model__weights"": ""distance"", ""pca__n_components"": 56, ""scale__method"": ""standard""}",stage3_local_cv,0.7776250000000001,0.00483153702252195,160.0,7.851,5
stage3_312,stage3_seed_0,"{""clean__method"": ""none"", ""model__metric"": ""euclidean"", ""model__n_neighbors"": 2, ""model__weights"": ""distance"", ""pca__n_components"": 44, ""scale__method"": ""standard""}",none,standard,44,2,euclidean,"{""clean__method"": ""none"", ""model__metric"": ""euclidean"", ""model__n_neighbors"": 2, ""model__weights"": ""distance"", ""pca__n_components"": 44, ""scale__method"": ""standard""}",stage3_local_cv,0.777625,0.006862488615655385,0.0,0.9319999999999999,5
stage3_405,stage3_seed_0,"{""clean__method"": ""tomek"", ""model__metric"": ""manhattan"", ""model__n_neighbors"": 6, ""model__weights"": ""distance"", ""pca__n_components"": 52, ""scale__method"": ""robust""}",tomek,robust,52,6,manhattan,"{""clean__method"": ""tomek"", ""model__metric"": ""manhattan"", ""model__n_neighbors"": 6, ""model__weights"": ""distance"", ""pca__n_components"": 52, ""scale__method"": ""robust""}",stage3_local_cv,0.7776249999999999,0.0030720514318611455,160.0,7.929,5
stage3_575,stage3_seed_1,"{""clean__method"": ""lof_0.05"", ""model__metric"": ""manhattan"", ""model__n_neighbors"": 8, ""model__weights"": ""distance"", ""pca__n_components"": 36, ""scale__method"": ""standard""}",lof_0.05,standard,36,8,manhattan,"{""clean__method"": ""lof_0.05"", ""model__metric"": ""manhattan"", ""model__n_neighbors"": 8, ""model__weights"": ""distance"", ""pca__n_components"": 36, ""scale__method"": ""standard""}",stage3_local_cv,0.7775000000000001,0.008081614937622326,320.0,5.149,5
stage3_296,stage3_seed_0,"{""clean__method"": ""none"", ""model__metric"": ""euclidean"", ""model__n_neighbors"": 6, ""model__weights"": ""distance"", ""pca__n_components"": 56, ""scale__method"": ""robust""}",none,robust,56,6,euclidean,"{""clean__method"": ""none"", ""model__metric"": ""euclidean"", ""model__n_neighbors"": 6, ""model__weights"": ""distance"", ""pca__n_components"": 56, ""scale__method"": ""robust""}",stage3_local_cv,0.7773749999999999,0.002481179155159922,0.0,1.693,5
stage3_544,stage3_seed_1,"{""clean__method"": ""lof_0.05"", ""model__metric"": ""euclidean"", ""model__n_neighbors"": 4, ""model__weights"": ""distance"", ""pca__n_components"": 36, ""scale__method"": ""robust""}",lof_0.05,robust,36,4,euclidean,"{""clean__method"": ""lof_0.05"", ""model__metric"": ""euclidean"", ""model__n_neighbors"": 4, ""model__weights"": ""distance"", ""pca__n_components"": 36, ""scale__method"": ""robust""}",stage3_local_cv,0.7773749999999999,0.005497158356824018,320.0,3.8680000000000003,5
stage3_224,stage3_seed_0,"{""clean__method"": ""lof_0.05"", ""model__metric"": ""euclidean"", ""model__n_neighbors"": 6, ""model__weights"": ""distance"", ""pca__n_components"": 52, ""scale__method"": ""standard""}",lof_0.05,standard,52,6,euclidean,"{""clean__method"": ""lof_0.05"", ""model__metric"": ""euclidean"", ""model__n_neighbors"": 6, ""model__weights"": ""distance"", ""pca__n_components"": 52, ""scale__method"": ""standard""}",stage3_local_cv,0.7772500000000001,0.006691879407162069,320.0,3.379,5
stage3_613,stage3_seed_1,"{""clean__method"": ""none"", ""model__metric"": ""manhattan"", ""model__n_neighbors"": 2, ""model__weights"": ""distance"", ""pca__n_components"": 36, ""scale__method"": ""standard""}",none,standard,36,2,manhattan,"{""clean__method"": ""none"", ""model__metric"": ""manhattan"", ""model__n_neighbors"": 2, ""model__weights"": ""distance"", ""pca__n_components"": 36, ""scale__method"": ""standard""}",stage3_local_cv,0.7771250000000001,0.00827836034489921,0.0,3.1199999999999997,5
stage3_339,stage3_seed_0,"{""clean__method"": ""none"", ""model__metric"": ""manhattan"", ""model__n_neighbors"": 3, ""model__weights"": ""distance"", ""pca__n_components"": 52, ""scale__method"": ""standard""}",none,standard,52,3,manhattan,"{""clean__method"": ""none"", ""model__metric"": ""manhattan"", ""model__n_neighbors"": 3, ""model__weights"": ""distance"", ""pca__n_components"": 52, ""scale__method"": ""standard""}",stage3_local_cv,0.7771250000000001,0.0026398390102428467,0.0,4.5600000000000005,5
stage3_315,stage3_seed_0,"{""clean__method"": ""none"", ""model__metric"": ""manhattan"", ""model__n_neighbors"": 3, ""model__weights"": ""distance"", ""pca__n_components"": 44, ""scale__method"": ""standard""}",none,standard,44,3,manhattan,"{""clean__method"": ""none"", ""model__metric"": ""manhattan"", ""model__n_neighbors"": 3, ""model__weights"": ""distance"", ""pca__n_components"": 44, ""scale__method"": ""standard""}",stage3_local_cv,0.7771250000000001,0.004003904344511744,0.0,4.657,5
stage3_381,stage3_seed_0,"{""clean__method"": ""tomek"", ""model__metric"": ""manhattan"", ""model__n_neighbors"": 6, ""model__weights"": ""distance"", ""pca__n_components"": 44, ""scale__method"": ""robust""}",tomek,robust,44,6,manhattan,"{""clean__method"": ""tomek"", ""model__metric"": ""manhattan"", ""model__n_neighbors"": 6, ""model__weights"": ""distance"", ""pca__n_components"": 44, ""scale__method"": ""robust""}",stage3_local_cv,0.7771250000000001,0.006331962570956944,160.0,8.180000000000001,5
